metier;personnalite
Commis à la comptabilité;conventionnel
Commis à la facturation;conventionnel
Commis à la fiscalité;conventionnel
Commis au budget;conventionnel
Commis au service de la paie;conventionnel
Commis aux comptes à recevoir;conventionnel
Commis de bureau;conventionnel
Commis de soutien à la gestion des ressources;conventionnel
Technicien en arpentage;conventionnel
Agent de centre d’appels;conventionnel
Archiviste médical;conventionnel
Caissier d’institution financière;conventionnel
Commis au classement;conventionnel
Préposé aux dossiers médicaux;conventionnel
Commis à la saisie de données;conventionnel
Commis de supermarché;conventionnel
Opérateur à la saisie de données;conventionnel
Préposé à l’emballage;conventionnel
Agent-conseil de crédit;conventionnel
Commis d’assurances;conventionnel
Coordonnateur du transport de voyageurs par autobus;conventionnel
Répartiteur en transport routier de personnes et marchandises;conventionnel
Vérificateur des impôts;conventionnel
Analyste en gestion d’entreprises;conventionnel
Commis aux approvisionnements;conventionnel
Commis de bourse;conventionnel
Commis de services financiers;conventionnel
Conseiller en organisation du travail;conventionnel
Correcteur d’épreuves;conventionnel
Technicien en collecte d’information;conventionnel
Technicien en enquête administrative;conventionnel
Technicien en statistiques;conventionnel
Caissier d’établissement commercial;conventionnel
Caissier de billetterie;conventionnel
Caissier de cafétéria;conventionnel
Caissier de station libre-service;conventionnel
Teneur de livres;conventionnel
Commis de bibliothèques;conventionnel
Secrétaire;conventionnel
Secrétaire juridique;conventionnel
Secrétaire médical;conventionnel
Sténographe juridique;conventionnel
Technicien en bureautique;conventionnel
Adjoint administratif;conventionnel
Commis au service du personnel;conventionnel
Commis aux plaintes;conventionnel
Concierge d’hôtel;conventionnel
Conseiller en voyages;conventionnel
Forfaitiste;conventionnel
Préposé à l’admission dans un hôpital;conventionnel
Préposé au service à la clientèle;conventionnel
Préposé aux renseignements;conventionnel
Préposé aux renseignements touristiques;conventionnel
Réceptionniste d’hôtel;conventionnel
Réceptionniste-téléphoniste;conventionnel
Secrétaire de direction;conventionnel
Téléphoniste (télécommunications);conventionnel
Commis des postes;conventionnel
Analyste financier;conventionnel
Conseiller en valeurs mobilières;conventionnel
Coordonnateur de la production;conventionnel
Chef pâtissier;conventionnel
Commis d’institution financière;conventionnel
Comptable;conventionnel
Fiscaliste;conventionnel
