metier;personnalite;category;salaire
Agent d'information;Entrepreneur;Accueil, hôtellerie, tourisme;
Attaché de presse;Entrepreneur;Accueil, hôtellerie, tourisme;
Conseiller en loisirs;Entrepreneur;Accueil, hôtellerie, tourisme;
Guide accompagnateur;Entrepreneur;Accueil, hôtellerie, tourisme;
Guide de plein air;Entrepreneur;Accueil, hôtellerie, tourisme;
Guide touristique;Entrepreneur;Accueil, hôtellerie, tourisme;
Formateur en tourisme;Social;Accueil, hôtellerie, tourisme;
Moniteur de loisirs;Social;Accueil, hôtellerie, tourisme;
Boucher;Réaliste;Agro-alimentaire, alimentation, cuisine;1521
Cuisinier;Réaliste;Agro-alimentaire, alimentation, cuisine;1521
Serveur;Social;Agro-alimentaire, alimentation, cuisine;
Dessinateur-concepteur en mécanique du bâtiment;Investigateur;Arts plastiques;
DESSINATEUR/TRICE-PROJETEUR/EUSE;Réaliste;Arts plastiques;1660
Plombier;Réaliste;Bâtiment : finitions;1500
Electricien;Réaliste;Bâtiment : finitions;1521
Serrurier;Réaliste;Bâtiment : finitions;1521
Coiffeur styliste;Social;Coiffure, esthétique et autres spécialités des services aux personnes;
Esthéticien;Social;Coiffure, esthétique et autres spécialités des services aux personnes;
Manucure;Social;Coiffure, esthétique et autres spécialités des services aux personnes;
Poseur d'ongles et de cils;Social;Coiffure, esthétique et autres spécialités des services aux personnes;
Sténographe juridique;Conventionnel;Droit, sciences politiques;
Conseiller juridique;Entrepreneur;Droit, sciences politiques;
Avocat;Entrepreneur;Droit, sciences politiques;
Juge;Entrepreneur;Droit, sciences politiques;
Notaire;Entrepreneur;Droit, sciences politiques;
Technicien juridique;Investigateur;Droit, sciences politiques;
Attaché politique;Social;Droit, sciences politiques;
Conseiller politique;Social;Droit, sciences politiques;
Agent de développement Économique;Entrepreneur;Economie;
Agroéconomiste;Investigateur;Economie;
Économiste;Investigateur;Economie;
Économiste en commerce international;Investigateur;Economie;
Économiste en développement international;Investigateur;Economie;
Économiste financier;Investigateur;Economie;
Économiste industriel;Investigateur;Economie;
Commis à  la comptabilité;Conventionnel;Finances, banque, assurances;
Commis à  la facturation;Conventionnel;Finances, banque, assurances;
Commis à  la fiscalité;Conventionnel;Finances, banque, assurances;
Commis au budget;Conventionnel;Finances, banque, assurances;
Commis au service de la paie;Conventionnel;Finances, banque, assurances;
Commis aux comptes à  recevoir;Conventionnel;Finances, banque, assurances;
Commis de bureau;Conventionnel;Finances, banque, assurances;
Commis de soutien à  la gestion des ressources;Conventionnel;Finances, banque, assurances;
Commis d'assurances;Conventionnel;Finances, banque, assurances;
Vérificateur des impà´ts;Conventionnel;Finances, banque, assurances;
Analyste en gestion d'entreprises;Conventionnel;Finances, banque, assurances;
Commis de bourse;Conventionnel;Finances, banque, assurances;
Commis de services financiers;Conventionnel;Finances, banque, assurances;
Technicien en statistiques;Conventionnel;Finances, banque, assurances;
Caissier de billetterie;Conventionnel;Finances, banque, assurances;
Analyste financier;Conventionnel;Finances, banque, assurances;
Conseiller en valeurs mobilières;Conventionnel;Finances, banque, assurances;
Commis d'institution financière;Conventionnel;Finances, banque, assurances;
Comptable;Conventionnel;Finances, banque, assurances;
Fiscaliste;Conventionnel;Finances, banque, assurances;
Comptable adjoint;Entrepreneur;Finances, banque, assurances;
Chanteur de concert;artistique;Musique, arts du spectacle;
Chanteur populaire;artistique;Musique, arts du spectacle;
Choriste;artistique;Musique, arts du spectacle;
Musicologue;artistique;Musique, arts du spectacle;
Professeur d'art dramatique (collège ou université);artistique;Musique, arts du spectacle;
Professeur d'arts plastiques;artistique;Musique, arts du spectacle;
Professeur de chant;artistique;Musique, arts du spectacle;
Professeur de danse;artistique;Musique, arts du spectacle;
Directeur de la publicité;artistique;Musique, arts du spectacle;
Interprète;artistique;Musique, arts du spectacle;
Rédacteur publicitaire;artistique;Musique, arts du spectacle;
Maquilleur-coiffeur;artistique;Musique, arts du spectacle;
Acrobate;artistique;Musique, arts du spectacle;
Assistant à  la réalisation;artistique;Musique, arts du spectacle;
Cadreur;artistique;Musique, arts du spectacle;
Clown;artistique;Musique, arts du spectacle;
Contorsionniste;artistique;Musique, arts du spectacle;
Directeur artistique;artistique;Musique, arts du spectacle;
Directeur de la distribution;artistique;Musique, arts du spectacle;
Directeur de la photographie;artistique;Musique, arts du spectacle;
Directeur de production multimédia;artistique;Musique, arts du spectacle;
Echassier;artistique;Musique, arts du spectacle;
Equilibriste;artistique;Musique, arts du spectacle;
Jongleur;artistique;Musique, arts du spectacle;
Magicien;artistique;Musique, arts du spectacle;
Technicien de production (télévision);artistique;Musique, arts du spectacle;
Jongleur;Social;Musique, arts du spectacle;
Magicien;Social;Musique, arts du spectacle;
Chasseur de têtes;Social;Ressources humaines, gestion du personnel, gestion de l'emploi;
Conseiller en emploi;Social;Ressources humaines, gestion du personnel, gestion de l'emploi;
Conseiller en gestion de carrière;Social;Ressources humaines, gestion du personnel, gestion de l'emploi;
Conseiller en toxicomanie;Social;Ressources humaines, gestion du personnel, gestion de l'emploi;
Technologue en médecine nucléaire;Investigateur;Santé;
Médecin légiste;Investigateur;Santé;
Médecin spécialiste en biochimie;Investigateur;Santé;
Médecin spécialiste en génétique;Investigateur;Santé;
Médecin spécialiste en microbiologie médicale;Investigateur;Santé;
Chirurgien cardio-vasculaire et thoracique;Investigateur;Santé;
Chirurgien général;Investigateur;Santé;
Chirurgien orthopédiste;Investigateur;Santé;
Chirurgien plasticien;Investigateur;Santé;
Médecin de santé publique;Investigateur;Santé;
Médecin en médecine d'urgence;Investigateur;Santé;
Médecin militaire;Investigateur;Santé;
Médecin spécialiste en médecine nucléaire;Investigateur;Santé;
Neurochirurgien;Investigateur;Santé;
Infirmier;Social;Santé;
Infirmer en chirurgie;Social;Santé;
Infirmier en santé au travail;Social;Santé;
Infirmier psychiatrique;Social;Santé;
Infirmier scolaire;Social;Santé;
Secrétaire;Conventionnel;Secrétariat, bureautique;
Secrétaire juridique;Conventionnel;Secrétariat, bureautique;
Secrétaire médical;Conventionnel;Secrétariat, bureautique;
Secrétaire de direction;Conventionnel;Secrétariat, bureautique;
Agent de police de port;Entrepreneur;Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);
Officier de la police militaire;Entrepreneur;Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);
Policier;Entrepreneur;Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);
Policier communautaire;Entrepreneur;Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);
Policier militaire;Entrepreneur;Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);
Directeur des communications (politique);Entrepreneur;Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);
Surveillant d'établissement de jeu;Entrepreneur;Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);
Inspecteur en protection animale;Entrepreneur;Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité);
Technicien en arpentage;Conventionnel;Transports, manutention, magasinage;
Machiniste constructeur ou plateau;Réaliste;Transports, manutention, magasinage;1521
Magasinier;Réaliste;Transports, manutention, magasinage;1521
CONDUCTEUR/TRICE DE TRAIN;Réaliste;Transports, manutention, magasinage;1600
